Data,NAV
28/02/2022,36.8129 
25/02/2022,36.7950 
24/02/2022,36.2983 
23/02/2022,35.6568 
22/02/2022,36.1185 
21/02/2022,36.4342 
18/02/2022,36.5124 
17/02/2022,36.7325 
16/02/2022,37.3681 
15/02/2022,37.3139 
14/02/2022,36.9450 
11/02/2022,36.9736 
10/02/2022,37.3576 
09/02/2022,37.9287 
08/02/2022,37.3748 
07/02/2022,37.0793 
04/02/2022,37.1106 
03/02/2022,37.0820 
02/02/2022,38.2328 
01/02/2022,38.0567 
31/01/2022,37.8461 
28/01/2022,37.3356 
27/01/2022,36.7636 
26/01/2022,36.6273 
25/01/2022,36.6021 
24/01/2022,36.8562 
21/01/2022,36.9714 
20/01/2022,37.6663 
19/01/2022,37.8749 
18/01/2022,38.1949 
17/01/2022,38.6257 
14/01/2022,38.4855 
13/01/2022,38.5030 
12/01/2022,39.0249 
11/01/2022,39.0457 
10/01/2022,38.7846 
07/01/2022,38.8266 
06/01/2022,39.0891 
05/01/2022,39.1735 
04/01/2022,39.8363 
31/12/2021,39.3940 
30/12/2021,39.6012 
29/12/2021,39.6134 
28/12/2021,39.7428 
24/12/2021,39.2322 
23/12/2021,39.3133 
22/12/2021,38.9651 
21/12/2021,38.7888 
20/12/2021,38.0587 
17/12/2021,38.5924 
16/12/2021,38.8191 
15/12/2021,39.1049 
14/12/2021,38.5732 
13/12/2021,38.8567 
10/12/2021,39.0786 
09/12/2021,38.9501 
08/12/2021,39.0781 
07/12/2021,39.2446 
06/12/2021,38.3211 
03/12/2021,37.9095 
02/12/2021,38.0855 
01/12/2021,37.7641 
30/11/2021,38.1707 
29/11/2021,38.7841 
26/11/2021,38.3349 
25/11/2021,39.5668 
24/11/2021,39.5599 
23/11/2021,39.3094 
22/11/2021,39.4247 
19/11/2021,39.3985 
18/11/2021,39.3691 
17/11/2021,39.4419 
16/11/2021,39.4240 
15/11/2021,39.1142 
12/11/2021,38.9988 
11/11/2021,38.6433 
10/11/2021,38.4767 
09/11/2021,38.5662 
08/11/2021,38.6679 
05/11/2021,38.7176 
04/11/2021,38.6528 
03/11/2021,38.3725 
02/11/2021,38.1907 
01/11/2021,38.0926 
29/10/2021,37.9633 
28/10/2021,37.6758 
27/10/2021,37.6084 
26/10/2021,37.7977 
25/10/2021,37.6454 
22/10/2021,37.4328 
21/10/2021,37.4467 
20/10/2021,37.3862 
19/10/2021,37.2596 
18/10/2021,37.1330 
