Data,NAV_1,NAV_2,N_SHARES_1,N_SHARES_2,AVERAGE_PRICE_1,AVERAGE_PRICE_2,TOTAL_PORTFOLIO,TAX_PAID
2018-04-10,109.1725,22.1081,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4714.746723784762,0.0
2018-04-11,109.1028,21.9552,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4705.587192499959,0.0
2018-04-12,109.1043,22.165,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4714.9345610296195,0.0
2018-04-13,109.1391,22.1292,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4714.5389198896655,0.0
2018-04-16,108.9157,22.19,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4709.589650936364,0.0
2018-04-17,109.1713,22.3931,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4727.333760352455,0.0
2018-04-18,109.0263,22.4251,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4723.7907159281,0.0
2018-04-19,108.5763,22.3544,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4705.262055993377,0.0
2018-04-20,108.5966,22.3535,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4705.916708779302,0.0
2018-04-23,108.4733,22.4333,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4705.234068842454,0.0
2018-04-24,108.4121,22.2781,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4696.263440096644,0.0
2018-04-25,108.2914,22.3072,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4693.423283658333,0.0
2018-04-26,108.4528,22.5882,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4711.396174292855,0.0
2018-04-27,108.61,22.6542,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4719.698913053648,0.0
2018-04-30,108.6546,22.5763,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4717.773149753309,0.0
2018-05-01,108.4406,22.7336,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4717.421314115663,0.0
2018-05-02,108.521,22.7196,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4719.551739973987,0.0
2018-05-03,108.6573,22.6614,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4721.636229931081,0.0
2018-05-04,108.6178,22.9054,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4731.096222285591,0.0
2018-05-07,108.6568,23.0213,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4737.565967192415,0.0
2018-05-08,108.4696,23.1173,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4735.414901659207,0.0
2018-05-09,108.357,23.296,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4739.48051422327,0.0
2018-05-10,108.476,23.3956,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4747.965088726425,0.0
2018-05-11,108.5048,23.369,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4747.771811186407,0.0
2018-05-14,108.3616,23.3693,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4742.8857524209025,0.0
2018-05-15,108.0714,23.4031,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4734.45468617938,0.0
2018-05-16,107.9452,23.5899,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4738.413900888872,0.0
2018-05-17,107.8177,23.6136,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4735.101824558589,0.0
2018-05-18,107.9866,23.6096,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4740.703222720499,0.0
2018-05-21,107.9757,23.7768,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4747.738778206332,0.0
2018-05-22,107.9518,23.7115,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4744.027695158425,0.0
2018-05-23,108.1661,23.7726,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4754.0669015400335,0.0
2018-05-24,108.3465,23.676,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4755.958730845872,0.0
2018-05-25,108.5287,23.74,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4765.028185123719,0.0
2018-05-28,108.4944,23.7721,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4765.276989279753,0.0
2018-05-29,108.8237,23.6318,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4770.326878636337,0.0
2018-05-30,108.6363,23.7179,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4767.730310375201,0.0
2018-05-31,108.7153,23.5154,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4761.460572800383,0.0
2018-06-01,108.5805,23.7357,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4766.609907455957,0.0
2018-06-04,108.487,23.8076,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4766.5967834375315,0.0
2018-06-05,108.3685,23.8385,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4763.911652739982,0.0
2018-06-06,107.9691,23.806,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4748.806795733059,0.0
2018-06-07,108.0048,23.7171,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4746.089133567017,0.0
2018-06-08,108.1262,23.8527,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4756.2509475909155,0.0
2018-06-11,108.1354,23.8295,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4755.53773935085,0.0
2018-06-12,107.9665,23.8841,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4752.178381486629,0.0
2018-06-13,108.1674,23.8676,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4758.320743088255,0.0
2018-06-14,108.3946,24.1299,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4777.716291939164,0.0
2018-06-15,108.5179,24.1258,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4781.753130503189,0.0
2018-06-18,108.5376,24.0243,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4777.929760142755,0.0
2018-06-19,108.6651,23.9644,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4779.637847169157,0.0
2018-06-20,108.5257,24.0061,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4776.716195734871,0.0
2018-06-21,108.5325,23.8302,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4769.154876378401,0.0
2018-06-22,108.5145,23.8695,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4770.280383610677,0.0
2018-06-25,108.5321,23.4408,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4751.887228748112,0.0
2018-06-26,108.4866,23.5135,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4753.551792731548,0.0
2018-06-27,108.6857,23.5064,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4760.049075815854,0.0
2018-06-28,108.6587,23.5977,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4763.1707359455,0.0
2018-06-29,108.7001,23.4969,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4760.120811613657,0.0
